id,created_at,conference,division,team,location,abbreviation
1,2025-03-15 23:41:53.357967+00,0,0,Boston Celtics,Boston,BOS
2,2025-03-15 23:41:53.357967+00,0,0,Brooklyn Nets,Brooklyn,BKN
3,2025-03-15 23:41:53.357967+00,0,0,New York Knicks,New York,NYK
4,2025-03-15 23:41:53.357967+00,0,0,Philadelphia 76ers,Philadelphia,PHI
5,2025-03-15 23:41:53.357967+00,0,0,Toronto Raptors,Toronto,TOR
6,2025-03-15 23:41:53.357967+00,0,1,Chicago Bulls,Chicago,CHI
7,2025-03-15 23:41:53.357967+00,0,1,Cleveland Cavaliers,Cleveland,CLE
8,2025-03-15 23:41:53.357967+00,0,1,Detroit Pistons,Detroit,DET
9,2025-03-15 23:41:53.357967+00,0,1,Indiana Pacers,Indianapolis,IND
10,2025-03-15 23:41:53.357967+00,0,1,Milwaukee Bucks,Milwaukee,MIL
11,2025-03-15 23:41:53.357967+00,0,2,Atlanta Hawks,Atlanta,ATL
12,2025-03-15 23:41:53.357967+00,0,2,Charlotte Hornets,Charlotte,CHA
13,2025-03-15 23:41:53.357967+00,0,2,Miami Heat,Miami,MIA
14,2025-03-15 23:41:53.357967+00,0,2,Orlando Magic,Orlando,ORL
15,2025-03-15 23:41:53.357967+00,0,2,Washington Wizards,Washington,WAS
16,2025-03-15 23:41:53.357967+00,1,3,Denver Nuggets,Denver,DEN
17,2025-03-15 23:41:53.357967+00,1,3,Minnesota Timberwolves,Minneapolis,MIN
18,2025-03-15 23:41:53.357967+00,1,3,Oklahoma City Thunder,Oklahoma City,OKC
19,2025-03-15 23:41:53.357967+00,1,3,Portland Trail Blazers,Portland,POR
20,2025-03-15 23:41:53.357967+00,1,3,Utah Jazz,Salt Lake City,UTA
21,2025-03-15 23:41:53.357967+00,1,4,Golden State Warriors,San Francisco,GSW
22,2025-03-15 23:41:53.357967+00,1,4,Los Angeles Clippers,Los Angeles,LAC
23,2025-03-15 23:41:53.357967+00,1,4,Los Angeles Lakers,Los Angeles,LAL
24,2025-03-15 23:41:53.357967+00,1,4,Phoenix Suns,Phoenix,PHX
25,2025-03-15 23:41:53.357967+00,1,4,Sacramento Kings,Sacramento,SAC
26,2025-03-15 23:41:53.357967+00,1,5,Dallas Mavericks,Dallas,DAL
27,2025-03-15 23:41:53.357967+00,1,5,Houston Rockets,Houston,HOU
28,2025-03-15 23:41:53.357967+00,1,5,Memphis Grizzlies,Memphis,MEM
29,2025-03-15 23:41:53.357967+00,1,5,New Orleans Pelicans,New Orleans,NOP
30,2025-03-15 23:41:53.357967+00,1,5,San Antonio Spurs,San Antonio,SAS
