name,type
"Austin Spurs","2"
"Birmingham Squadron","2"
"Capital City Go-Go","2"
"Capitanes de Ciudad de México","2"
"Cleveland Charge","2"
"College Park Skyhawks","2"
"Delaware Blue Coats","2"
"G League Ignite","2"
"Grand Rapids Gold","2"
"Greensboro Swarm","2"
"Indiana Mad Ants","2"
"Iowa Wolves","2"
"Long Island Nets","2"
"Maine Celtics","2"
"Memphis Hustle","2"
"Motor City Cruise","2"
"Oklahoma City Blue","2"
"Ontario Clippers","2"
"Osceola Magic","2"
"Overtime Elite (OTE)","2"
"Raptors 905","2"
"Rio Grande Valley Vipers","2"
"Rip City Remix","2"
"Salt Lake City Stars","2"
"Santa Cruz Warriors","2"
"Sioux Falls Skyforce","2"
"South Bay Lakers","2"
"Stockton Kings","2"
"Texas Legends","2"
"Westchester Knicks","2"
"Windy City Bulls","2"
"Wisconsin Herd","2"
"Abilene Christian University","1"
"Adelphi University","1"
"Adrian College","1"
"Alabama Agricultural and Mechanical University","1"
"Alabama State University","1"
"Alcorn State University","1"
"Alma College","1"
"American International College","1"
"American University","1"
"Appalachian State University","1"
"Arizona State University (ASU)","1"
"Arkansas State University","1"
"Armstrong State University","1"
"Assumption University","1"
"Auburn University","1"
"Augusta University","1"
"Augustana College","1"
"Augustana University","1"
"Aurora University","1"
"Austin College","1"
"Austin Peay State University","1"
"Azusa Pacific University","1"
"Babson College","1"
"Ball State University","1"
"Barton College","1"
"Bates College","1"
"Baylor University","1"
"Bellarmine University","1"
"Belmont Abbey College","1"
"Belmont University","1"
"Bemidji State University","1"
"Benedict College","1"
"Bentley University","1"
"Bethune–Cookman University","1"
"Biola University","1"
"Birmingham-Southern College","1"
"Bloomfield College","1"
"Bloomsburg University of Pennsylvania","1"
"Boise State University","1"
"Boston College","1"
"Boston University","1"
"Bowdoin College","1"
"Bowie State University","1"
"Bowling Green State University","1"
"Bradley University","1"
"Brandeis University","1"
"Brigham Young University (BYU)","1"
"Brooklyn College","1"
"Brown University","1"
"Bryant University","1"
"Bucknell University","1"
"Butler University","1"
"Caldwell University","1"
"California Baptist University","1"
"California Institute of Technology","1"
"California Lutheran University","1"
"California Polytechnic State University","1"
"California State University, Bakersfield","1"
"California State University, East Bay","1"
"California State University, Fresno (Fresno State)","1"
"California State University, Fullerton","1"
"California State University, Long Beach","1"
"California State University, Los Angeles (UCLA)","1"
"California State University, Monterey Bay","1"
"California State University, Northridge","1"
"California State University, Sacramento","1"
"Campbell University","1"
"Canisius University","1"
"Carson–Newman University","1"
"Carthage College","1"
"Catawba College","1"
"Catholic University of America","1"
"Centenary College of Louisiana","1"
"Central Connecticut State University","1"
"Central Michigan University","1"
"Central State University","1"
"Chapman University","1"
"Charleston Southern University","1"
"Chestnut Hill College","1"
"Chicago State University","1"
"Chowan University","1"
"City College of the City University of New York","1"
"Claremont McKenna College","1"
"Clarkson University","1"
"Clemson University","1"
"Cleveland State University","1"
"Coastal Carolina University","1"
"Coker University","1"
"Colby College","1"
"Colby–Sawyer College","1"
"Colgate University","1"
"College of Charleston","1"
"College of the Holy Cross","1"
