id,created_at,name,type
1,2025-03-15 23:33:25.701075+00,Austin Spurs,2
2,2025-03-15 23:33:25.701075+00,Birmingham Squadron,2
3,2025-03-15 23:33:25.701075+00,Capital City Go-Go,2
4,2025-03-15 23:33:25.701075+00,Capitanes de Ciudad de México,2
5,2025-03-15 23:33:25.701075+00,Cleveland Charge,2
6,2025-03-15 23:33:25.701075+00,College Park Skyhawks,2
7,2025-03-15 23:33:25.701075+00,Delaware Blue Coats,2
8,2025-03-15 23:33:25.701075+00,G League Ignite,2
9,2025-03-15 23:33:25.701075+00,Grand Rapids Gold,2
10,2025-03-15 23:33:25.701075+00,Greensboro Swarm,2
11,2025-03-15 23:33:25.701075+00,Indiana Mad Ants,2
12,2025-03-15 23:33:25.701075+00,Iowa Wolves,2
13,2025-03-15 23:33:25.701075+00,Long Island Nets,2
14,2025-03-15 23:33:25.701075+00,Maine Celtics,2
15,2025-03-15 23:33:25.701075+00,Memphis Hustle,2
16,2025-03-15 23:33:25.701075+00,Motor City Cruise,2
17,2025-03-15 23:33:25.701075+00,Oklahoma City Blue,2
18,2025-03-15 23:33:25.701075+00,Ontario Clippers,2
19,2025-03-15 23:33:25.701075+00,Osceola Magic,2
20,2025-03-15 23:33:25.701075+00,Overtime Elite (OTE),2
21,2025-03-15 23:33:25.701075+00,Raptors 905,2
22,2025-03-15 23:33:25.701075+00,Rio Grande Valley Vipers,2
23,2025-03-15 23:33:25.701075+00,Rip City Remix,2
24,2025-03-15 23:33:25.701075+00,Salt Lake City Stars,2
25,2025-03-15 23:33:25.701075+00,Santa Cruz Warriors,2
26,2025-03-15 23:33:25.701075+00,Sioux Falls Skyforce,2
27,2025-03-15 23:33:25.701075+00,South Bay Lakers,2
28,2025-03-15 23:33:25.701075+00,Stockton Kings,2
29,2025-03-15 23:33:25.701075+00,Texas Legends,2
30,2025-03-15 23:33:25.701075+00,Westchester Knicks,2
31,2025-03-15 23:33:25.701075+00,Windy City Bulls,2
32,2025-03-15 23:33:25.701075+00,Wisconsin Herd,2
33,2025-03-15 23:33:25.701075+00,Abilene Christian University,1
34,2025-03-15 23:33:25.701075+00,Adelphi University,1
35,2025-03-15 23:33:25.701075+00,Adrian College,1
36,2025-03-15 23:33:25.701075+00,Alabama Agricultural and Mechanical University,1
37,2025-03-15 23:33:25.701075+00,Alabama State University,1
38,2025-03-15 23:33:25.701075+00,Alcorn State University,1
39,2025-03-15 23:33:25.701075+00,Alma College,1
40,2025-03-15 23:33:25.701075+00,American International College,1
41,2025-03-15 23:33:25.701075+00,American University,1
42,2025-03-15 23:33:25.701075+00,Appalachian State University,1
43,2025-03-15 23:33:25.701075+00,Arizona State University (ASU),1
44,2025-03-15 23:33:25.701075+00,Arkansas State University,1
45,2025-03-15 23:33:25.701075+00,Armstrong State University,1
46,2025-03-15 23:33:25.701075+00,Assumption University,1
47,2025-03-15 23:33:25.701075+00,Auburn University,1
48,2025-03-15 23:33:25.701075+00,Augusta University,1
49,2025-03-15 23:33:25.701075+00,Augustana College,1
50,2025-03-15 23:33:25.701075+00,Augustana University,1
51,2025-03-15 23:33:25.701075+00,Aurora University,1
52,2025-03-15 23:33:25.701075+00,Austin College,1
53,2025-03-15 23:33:25.701075+00,Austin Peay State University,1
54,2025-03-15 23:33:25.701075+00,Azusa Pacific University,1
55,2025-03-15 23:33:25.701075+00,Babson College,1
56,2025-03-15 23:33:25.701075+00,Ball State University,1
57,2025-03-15 23:33:25.701075+00,Barton College,1
58,2025-03-15 23:33:25.701075+00,Bates College,1
59,2025-03-15 23:33:25.701075+00,Baylor University,1
60,2025-03-15 23:33:25.701075+00,Bellarmine University,1
61,2025-03-15 23:33:25.701075+00,Belmont Abbey College,1
62,2025-03-15 23:33:25.701075+00,Belmont University,1
63,2025-03-15 23:33:25.701075+00,Bemidji State University,1
64,2025-03-15 23:33:25.701075+00,Benedict College,1
65,2025-03-15 23:33:25.701075+00,Bentley University,1
