id,created_at,quiz_id,player_id,order_index,hint,difficulty,points
1,2025-03-16 18:01:09.18096+00,1,25,1,,1,1
2,2025-03-16 18:01:09.18096+00,1,26,2,,1,1
3,2025-03-16 18:01:09.18096+00,1,27,3,,1,1
4,2025-03-16 18:01:09.18096+00,1,28,4,,1,1
5,2025-03-16 18:01:09.18096+00,1,29,5,,1,1
6,2025-03-16 18:01:09.18096+00,1,30,6,,1,1
7,2025-03-16 18:01:09.18096+00,1,31,7,,1,1
8,2025-03-16 18:01:09.18096+00,1,32,8,,1,1
9,2025-03-16 18:01:09.18096+00,1,33,9,,1,1
10,2025-03-16 18:01:09.18096+00,1,34,10,,1,1
11,2025-03-16 18:01:09.18096+00,1,35,11,,2,2
12,2025-03-16 18:01:09.18096+00,1,36,12,,2,2
13,2025-03-16 18:01:09.18096+00,1,37,13,,2,2
14,2025-03-16 18:01:09.18096+00,1,38,14,,2,2
15,2025-03-16 18:01:09.18096+00,1,39,15,,2,2
16,2025-03-16 18:01:09.18096+00,1,40,16,,2,2
17,2025-03-16 18:01:09.18096+00,1,41,17,,2,2
18,2025-03-16 18:01:09.18096+00,1,42,18,,2,2
19,2025-03-16 18:01:09.18096+00,1,43,19,,2,2
20,2025-03-16 18:01:09.18096+00,1,44,20,,2,2
21,2025-03-16 18:01:09.18096+00,1,45,21,,3,3
22,2025-03-16 18:01:09.18096+00,1,46,22,,3,3
23,2025-03-16 18:01:09.18096+00,1,47,23,,3,3
24,2025-03-16 18:01:09.18096+00,1,48,24,,3,3
25,2025-03-16 18:01:09.18096+00,1,49,25,,3,3
26,2025-03-16 18:01:09.18096+00,1,50,26,,3,3
27,2025-03-16 18:01:09.18096+00,1,51,27,,3,3
28,2025-03-16 18:01:09.18096+00,1,52,28,,3,3
29,2025-03-16 18:01:09.18096+00,1,53,29,,3,3
30,2025-03-16 18:01:09.18096+00,1,54,30,,3,3
